ARG1,AZU1,CD177,CEACAM8,CTSG,DEFA4,ELANE,LCN2,MCEMP1,MMP8,OLFM4
ARG1,1,0.270730829265777,0.689203883321185,0.421429953401229,0.340715365157282,0.404602066167607,0.365958594119647,0.432807548268276,0.699987551538172,0.561247369692583,0.477219142588049
AZU1,0.270730829265777,1,0.129875354828566,0.77657583316649,0.876348930990919,0.87977733659559,0.932031481096819,0.816462241720813,0.123844688272662,0.574140680486943,0.628116634090757
CD177,0.689203883321185,0.129875354828566,1,0.25510911136108,0.174147680714199,0.216907513373278,0.236039736567681,0.379143607049119,0.828889388826397,0.49192198551998,0.414893250054786
CEACAM8,0.421429953401229,0.77657583316649,0.25510911136108,1,0.891833032458085,0.937866800677295,0.76894646110955,0.892439445069366,0.20532733408324,0.880770545997351,0.846653518235417
CTSG,0.340715365157282,0.876348930990919,0.174147680714199,0.891833032458085,1,0.963039126577334,0.870414434728504,0.838526497286926,0.138869973701659,0.730738195418895,0.752968705337068
DEFA4,0.404602066167607,0.87977733659559,0.216907513373278,0.937866800677295,0.963039126577334,1,0.880140176742916,0.881479426192211,0.187900921646991,0.778007418158497,0.781989981102079
ELANE,0.365958594119647,0.932031481096819,0.236039736567681,0.76894646110955,0.870414434728504,0.880140176742916,1,0.846259322699966,0.249240225158982,0.612789519327049,0.66155944729155
LCN2,0.432807548268276,0.816462241720813,0.379143607049119,0.892439445069366,0.838526497286926,0.881479426192211,0.846259322699966,1,0.337616797900262,0.837662805141542,0.821039527878563
MCEMP1,0.699987551538172,0.123844688272662,0.828889388826397,0.20532733408324,0.138869973701659,0.187900921646991,0.249240225158982,0.337616797900262,1,0.443036949494155,0.336485462967564
MMP8,0.561247369692583,0.574140680486943,0.49192198551998,0.880770545997351,0.730738195418895,0.778007418158497,0.612789519327049,0.837662805141542,0.443036949494155,1,0.847864919475304
OLFM4,0.477219142588049,0.628116634090757,0.414893250054786,0.846653518235417,0.752968705337068,0.781989981102079,0.66155944729155,0.821039527878563,0.336485462967564,0.847864919475304,1
